영업중,인허가일자_년도,인허가일자_월,인허가일자_일,지역,영업상태구분코드,상세영업상태코드,시설면적,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부
1, 2001, 10, 18,대구광역시 달서구,1,13,97.09,3,4,N,N,N,N,N,N
1, 2001, 12, 21,대구광역시 달서구,1,13,84.22,6,4,N,N,N,N,N,N
1, 2001, 08, 25,대구광역시 달서구,1,13,76.37,5,2,N,N,N,Y,N,N
1, 2001, 01, 20,대구광역시 달서구,1,13,43.74,3,4,N,N,N,N,N,N
1, 2001, 10, 24,대구광역시 달서구,1,13,131.14,5,2,N,N,N,Y,N,N
1, 2008, 05, 16,대구광역시 달서구,1,13,197.4,6,2,N,N,N,Y,N,N
1, 2008, 05, 21,대구광역시 달서구,1,13,166.29,6,4,Y,Y,Y,N,N,Y
1, 2008, 05, 29,대구광역시 달서구,1,13,148.19,5,4,Y,Y,Y,N,N,Y
1, 2008, 06, 01,대구광역시 달서구,1,13,127.34,4,4,Y,Y,Y,N,Y,Y
1, 2002, 09, 16,대구광역시 달서구,1,13,138.6,6,2,N,N,N,N,N,N
1, 2002, 02, 20,대구광역시 달서구,1,13,152.9,7,4,N,N,N,Y,N,N
1, 2009, 04, 24,대구광역시 달서구,1,13,51.84,2,4,Y,Y,Y,N,Y,Y
1, 2009, 04, 29,대구광역시 달서구,1,13,180.6,4,4,Y,Y,Y,N,N,Y
1, 2009, 04, 29,대구광역시 달서구,1,13,127.86,5,4,Y,Y,Y,N,N,Y
1, 2009, 07, 09,대구광역시 달서구,1,13,92.45,4,4,N,N,N,N,N,N
1, 2009, 08, 11,대구광역시 달서구,1,13,88.92,10,4,N,Y,N,Y,N,N
